last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,avg_best_speed
Nimmo, Brandon,607043,2022,29,580,159,106,30,7,16,0.274,89.4,6.1,28.1,7,3.6,25.1,19.8,38.5,39.8,100.2513017
Peterson, Jace,607054,2022,32,288,68,44,14,2,8,0.236,88.6,9.7,33.7,7.2,5.3,23.6,23.1,35.1,36.1,98.36015814
Turner, Trea,607208,2022,29,652,194,130,39,4,21,0.298,88.9,10.2,35.3,7.6,6.5,24.3,24.3,34.5,41.6,100.1881989
Stallings, Jacob,607732,2022,32,346,77,61,12,0,4,0.223,86.7,12.9,33.5,3.4,6,25.6,28.2,34.2,32.3,96.72552773
Ramirez, Jose,608070,2022,29,601,168,90,44,5,29,0.28,87.7,20.7,33.7,6.6,6.4,22.3,37.3,21.8,36.9,98.87194481
Bregman, Alex,608324,2022,28,548,142,81,38,0,23,0.259,88.9,19.5,36.2,7.3,9.4,24.3,32.6,23.3,37.8,98.37864533
Gallo, Joey,608336,2022,28,350,56,27,8,2,19,0.16,89.6,23.8,29.3,17.6,8,14.4,34.6,17.6,50.5,103.2191505
Kelly, Carson,608348,2022,27,317,67,42,18,0,7,0.211,87.7,14.7,33.2,5.2,7.2,22.8,30,30,36.8,98.3885
Seager, Corey,608369,2022,28,593,145,87,24,1,33,0.245,91.1,13.6,38.4,10.5,9.9,24.2,25.1,28.1,45.5,101.5983056
Winker, Jesse,608385,2022,28,456,100,71,15,0,14,0.219,87.7,16.8,32,7.6,3.1,26.1,31.5,28.1,34.3,98.67449927
Reynolds, Matt,608703,2022,31,244,60,46,10,1,3,0.246,90.2,5.6,36.5,3,9,26.3,16.8,43.1,42.4,99.45032783
Cordero, Franchy,614173,2022,27,242,53,27,17,1,8,0.219,89.7,12.7,39,12.3,10.4,21.4,22.1,25.3,45.5,103.4807285
Reyes, Franmil,614177,2022,26,438,97,64,17,2,14,0.221,92,9.9,27.8,11.3,8.5,19,22.2,37.7,45.8,102.0750826
Swanson, Dansby,621020,2022,28,640,177,119,32,1,25,0.277,90.2,15.7,37,10.8,8,27.1,25.3,26.4,46.3,100.8392096
Newman, Kevin,621028,2022,28,288,79,57,18,2,2,0.274,85.8,13.1,31.7,1.6,3.3,28.8,25.9,33.3,27.2,96.29830143
Taylor, Chris,621035,2022,31,402,89,51,25,3,10,0.221,87.4,20.4,40.8,10.2,6.1,24.5,31.8,21.2,38,98.71116703
Correa, Carlos,621043,2022,27,522,152,105,24,1,22,0.291,89.9,11.6,35.3,11.4,5.7,25.4,23.7,29.4,44.7,101.9928733
Taylor, Tyrone,621438,2022,28,373,87,46,21,3,17,0.233,88,16.9,34.7,9.9,7.3,20.8,27.7,28.1,37.6,99.15421963
Buxton, Byron,621439,2022,28,340,76,32,13,3,28,0.224,92.9,21.4,34.2,16.4,7.1,18.7,31.6,23.6,50.2,103.7774739
Ward, Taylor,621493,2022,28,495,139,92,22,2,23,0.281,90,15.8,41.8,12.4,7.4,26.3,25.3,25,42.9,100.1845719
Nido, Tomas,621512,2022,28,284,68,50,15,0,3,0.239,86.3,8.3,40.1,6.3,8.1,24.8,15.3,35.1,33.3,97.78503301
Wisdom, Patrick,621550,2022,30,469,97,44,28,0,25,0.207,90.7,21,29.8,14.2,6.2,15.6,33.2,24.6,46.3,102.1640324
Wendle, Joey,621563,2022,32,347,90,62,24,1,3,0.259,87.5,3,27.9,1.7,5,25.2,21.3,42.9,36.2,98.00221362
Olson, Matt,621566,2022,28,616,148,70,44,0,34,0.24,92.9,16.1,33.8,13.6,7.6,22,27.6,27.1,50.9,103.6650999
Margot, Manuel,622534,2022,27,336,92,68,18,2,4,0.274,89.5,10.2,30.9,3.7,3.7,28.3,24.2,34.6,37.9,99.95842854
Reyes, Victor,622682,2022,27,315,80,55,19,3,3,0.254,87.9,10.9,35.5,5,5,31.4,21.9,30.6,36.8,98.89917433
Mateo, Jorge,622761,2022,27,494,109,64,25,7,13,0.221,86.8,14.8,35.5,6,5.7,21.6,29.5,30.7,32.7,98.63578407
Velazquez, Andrew,623205,2022,27,322,63,46,8,0,9,0.196,88,8.2,33,6.6,6.6,24.1,18.9,33.5,34,98.78037309
Ramirez, Harold,623912,2022,27,403,121,91,24,0,6,0.3,88.5,4.8,32.2,4.8,6.6,26.9,17.9,37.3,41.2,101.0508817
Santander, Anthony,623993,2022,27,574,138,81,24,0,33,0.24,90.1,21.4,33.5,11.6,8.1,21.7,31.9,23,43.3,101.3309981
Alonso, Pete,624413,2022,27,597,162,95,27,0,40,0.271,89.8,18.2,34.5,12.3,4.8,23.8,30.1,24.1,44.8,102.8492154
Arroyo, Christian,624414,2022,27,280,80,57,16,1,6,0.286,88.9,9.1,34.9,6.4,4.3,34,18.3,31.9,42.1,100.6372642
Biggio, Cavan,624415,2022,27,257,52,27,18,1,6,0.202,87.9,19.6,36.2,6.9,8.6,23,32.8,27,32.8,97.2885964
Frazier, Adam,624428,2022,30,541,129,100,22,4,3,0.238,85.1,13.6,37.7,1.5,4,28.9,28.5,32.8,24.5,95.04813587
Trevino, Jose,624431,2022,29,335,83,59,12,1,11,0.248,87.9,13,31,5.1,4,24.8,31,29.2,35,98.39682326
Gordon, Nick,624503,2022,26,405,110,69,28,4,9,0.272,90.6,12.5,36.6,9.4,8.1,26.2,21,33,44.7,99.94910523
McGuire, Reese,624512,2022,27,249,67,49,14,1,3,0.269,87,14.1,33.2,2.5,5.9,26.2,28.2,29.7,29.7,96.3747474
Soler, Jorge,624585,2022,30,270,56,30,13,0,13,0.207,91.2,13.7,33.1,12.2,6.6,22.1,27.6,27.6,43.6,103.631341
Hernandez, Yadiel,628450,2022,34,305,82,57,16,0,9,0.269,88.8,3.5,35.6,8.6,7.7,28.8,15.5,34.3,42.1,98.93641235
Cronenworth, Jake,630105,2022,28,587,140,89,30,4,17,0.239,87.6,18.2,32.3,5.6,6.9,20,37.1,25.2,34.1,97.91736283
Pinder, Chad,640461,2022,30,361,85,55,18,0,12,0.235,87.5,9.7,33.3,6.5,7.3,26,18.7,35,40.7,100.0682988
Anderson, Tim,641313,2022,29,332,100,81,13,0,6,0.301,88.2,3.3,37.5,5.8,5.4,31.8,10.8,41.5,41.2,98.95756051
Bellinger, Cody,641355,2022,26,504,106,57,27,3,19,0.21,89.4,20.3,34.4,8.3,5.8,25.3,35.8,23.3,38.1,98.14998383
Crawford, J.P.,641487,2022,27,518,126,93,24,3,6,0.243,85.1,8.9,32.4,2,4.7,24.3,24.3,37.3,29.7,96.66364771
Dozier, Hunter,641531,2022,30,462,109,67,26,4,12,0.236,88.5,13.1,33.1,7.7,5,25.4,26,32.2,38.5,99.97757423
Engel, Adam,641553,2022,30,245,55,39,13,1,2,0.224,87.9,15,30.8,1.8,5.3,28.4,29.6,31.4,33.1,98.58918857
Guillorme, Luis,641645,2022,27,297,81,66,12,1,2,0.273,86.2,4.3,35.6,2.4,2.8,30.8,15.4,42.3,24.9,95.53920878
Heim, Jonah,641680,2022,27,406,92,55,20,1,16,0.227,89.3,17,29.6,6.9,5.9,20.6,33,29.9,39.9,99.37956711
Mancini III, Trey,641820,2022,30,519,124,82,23,1,18,0.239,89.5,12.7,39.6,9.8,10.3,23.7,23.4,30.6,40.4,100.0785861
McMahon, Ryan,641857,2022,27,529,130,84,23,3,20,0.246,91.7,10.8,36.4,10.4,6.7,27,21.1,30.2,46.5,102.0943837
